Area Code (FAO),Year,population,yield,harvested,Value
11,1973,7584.023,35268,266287.0,939152.0
11,1974,7597.03,40938,269131.0,1101762.0
11,1975,7576.926,35063,269567.0,945188.0
11,1976,7563.511,42634,289328.0,1233520.0
11,1977,7566.358,37588,285158.0,1071848.0
11,1978,7560.249,41771,286038.0,1194808.0
11,1979,7547.481,31457,270188.0,849921.0
11,1980,7547.561,44673,268753.0,1200599.0
11,1981,7566.316,37370,274286.0,1025011.0
11,1982,7571.289,42767,289090.0,1236355.0
11,1983,7559.11,45300,312883.0,1417365.0
11,1984,7558.563,47632,315126.0,1501000.0
11,1985,7562.114,48862,319837.0,1562776.0
11,1986,7567.248,43605,324415.0,1414599.0
11,1987,7572.38,45284,320366.0,1450734.0
11,1988,7583.761,53436,291938.0,1559993.0
11,1989,7619.391,49015,278068.0,1362951.0
11,1990,7678.729,50479,278226.0,1404468.0
11,1991,7755.638,50735,271068.0,1375253.0
11,1992,7840.816,53938,245728.0,1325401.0
11,1993,7905.278,42246,240971.0,1018013.0
11,1994,7935.365,52088,240961.0,1255122.0
11,1995,7947.296,50856,255910.0,1301445.0
11,1996,7958.041,50069,247602.0,1239723.0
11,1997,7967.093,52044,259832.0,1352281.0
11,1998,7975.862,50749,264405.0,1341820.0
11,1999,7991.377,54348,260579.0,1416200.0
11,2000,8010.428,44688,293806.0,1312962.0
11,2001,8039.626,52412,287777.0,1508283.0
11,2002,8078.992,49667,288764.0,1434208.0
11,2003,8120.104,43801,272001.0,1191380.0
11,2004,8171.217,59234,290174.0,1718825.0
11,2005,8227.034,50286,288960.0,1453072.0
11,2006,8267.763,49066,284577.0,1396300.0
11,2007,8294.722,47763,292976.0,1399341.0
11,2008,8321.131,56935,296775.0,1689688.0
11,2009,8342.935,49295,309034.0,1523368.0
11,2010,8362.829,50117,302852.0,1517805.0
11,2011,8391.2,58549,304334.0,1781837.0
11,2012,8429.637,41388,308179.0,1275498.0
11,2013,8479.539,53743,297286.0,1597706.0
11,2014,8546.066,59217,304645.0,1804018.0
11,2015,8642.421,56962,302965.0,1725737.0
11,2016,8736.487,62534,315088.0,1970364.0
11,2017,8797.496,48712,295029.0,1437143.0
11,2018,8840.513,46453,294290.0,1367060.0
11,2019,8879.94,57372,278340.0,1596880.0
11,2020,8907.777,59234,279020.0,1652740.0
52,1992,7643.338,21705,434649.0,943387.0
52,1993,7740.107,16855,498948.0,840960.0
52,1994,7821.88,16296,453633.0,739245.0
52,1995,7889.33,14940,418734.0,625575.0
52,1996,7949.101,16627,456393.0,758861.0
52,1997,8000.061,16914,529991.0,896422.0
52,1998,8041.096,15764,506379.0,798262.0
52,1999,8101.449,19992,423194.0,846030.0
52,2000,8190.337,23223,495330.0,1150281.0
52,2001,8282.023,26154,571126.0,1493741.0
52,2002,8372.127,26028,650372.0,1692818.0
52,2003,8462.322,25599,589700.0,1509557.0
52,2004,8556.164,25748,610919.0,1573006.0
52,2005,8656.237,25818,591452.0,1527026.0
52,2006,8763.353,26050,560575.0,1460303.0
52,2007,8878.411,26722,488542.0,1305458.0
52,2008,8999.696,27251,603935.0,1645792.0
52,2009,9119.628,25946,807900.0,2096203.0
52,2010,9237.202,19381,656480.0,1272340.0
52,2011,9359.014,24376,654078.0,1594394.0
52,2012,9485.576,26144,687349.0,1797028.0
52,2013,9614.478,26719,689143.0,1841307.0
52,2014,9741.88,23285,604429.0,1407405.0
52,2015,9863.48,30385,539677.0,1639830.0
52,2016,9976.248,30475,590603.0,1799859.0
52,2017,10071.567,29687,596075.0,1769574.0
52,2018,10152.522,29383,677834.0,1991683.0
52,2019,10232.753,31555,669993.0,2114139.0
52,2020,10284.951,30908,588415.0,1818665.0
16,1961,51882.769,5738,56657.0,32512.0
